section,sku_idx,sku_id,source_url,add_button_id,name,description,weight_text,price_rub,image_url,image_path,image_width,image_height,img_brightness,img_contrast,img_saturation,img_warmth,img_sharpness,image_quality_score,food_styling_score,appetite_score_data
hot,12,hot-012,https://363363.ru/hot,buttonu18818,Семга по-царски,"Семга, помидоры, сыр, лимон, приправа для рыбы, масло растительное",,2900.0,https://363363.ru/images/%d1%81%d0%b5%d0%bc%d0%b3%d0%b0%20%d0%bf%d0%be%20%d1%86%d0%b0%d1%80%d1%81%d0%ba%d0%b8234.jpg?crc=3758212445,artifacts/sku-audit/images/hot/hot-012.jpg,251,188,169.31,56.07,127.58,1.842,57.06,5.84,6.71,6.23
hot,13,hot-013,https://363363.ru/hot,buttonu19015,Голень индейки запеченная,"масло растительное, чеснок, маринад",,990.0,https://363363.ru/images/dsc_5531.jpg?crc=211479739,artifacts/sku-audit/images/hot/hot-013.jpg,267,177,135.05,74.18,147.41,1.971,82.42,8.42,7.1,7.83
hot,14,hot-014,https://363363.ru/hot,buttonu19068,Рулька свиная запеченная,"Рулька свиная, соль, перец черный горошком, специи, чеснок.",,900.0,https://363363.ru/images/maxresdefault.jpg?crc=3918301056,artifacts/sku-audit/images/hot/hot-014.jpg,258,172,130.1,49.94,137.2,1.845,75.73,6.79,6.63,6.72
hot,15,hot-015,https://363363.ru/hot,buttonu39091,Сотэ из баклажанов,"Баклажаны, морковь, перец сладкий, соль, помидоры, перец, масло растительное",,1100.0,https://363363.ru/images/sote-iz-baklazhanov-recept-sote-iz-baklazhanov-s-foto.jpg?crc=111185878,artifacts/sku-audit/images/hot/hot-015.jpg,251,188,93.05,58.0,164.31,2.736,83.94,7.51,8.2,7.82
hot,16,hot-016,https://363363.ru/hot,buttonu42903,Скумбрия по средиземноморски,Фаршированная пассированным луком и морковкой,,1200.0,https://363363.ru/images/599559955995.png?crc=395748506,artifacts/sku-audit/images/hot/hot-016.png,270,180,136.18,58.72,120.92,1.611,66.5,6.46,5.96,6.24
hot,17,hot-017,https://363363.ru/hot,buttonu43008,Картофель отварной с зеленью,Картофель отварной с зеленью,,600.0,https://363363.ru/images/varenaya_kartoshka_s_zeleniu-189008.jpg?crc=4008126318,artifacts/sku-audit/images/hot/hot-017.jpg,261,177,169.24,34.15,164.74,2.702,38.42,3.37,8.78,5.8
hot,18,hot-018,https://363363.ru/hot,buttonu42954,Рулеты из свинины фаршированные шампиньонами,Рулеты из свинины фаршированные шампиньонами,,1700.0,https://363363.ru/images/ruletiki-iz-govyadiny-s-gribami-300x216.png?crc=394399207,artifacts/sku-audit/images/hot/hot-018.png,251,181,120.89,72.2,167.13,2.217,55.38,6.0,7.81,6.81
hot,19,hot-019,https://363363.ru/hot,buttonu49872,Крылышки в медовом соусе во фритюре,Крылышки в медовом соусе во фритюре,,1100.0,https://363363.ru/images/krilishki-med-1.jpg?crc=3969700622,artifacts/sku-audit/images/hot/hot-019.jpg,251,167,155.09,61.96,171.51,2.703,69.39,6.99,8.84,7.82
hot,20,hot-020,https://363363.ru/hot,buttonu49891,Голень в медовом соусе во фритюре,Голень в медовом соусе во фритюре,,1100.0,https://363363.ru/images/kurinie_nojki_v_panirovke-147450.jpg?crc=284729533,artifacts/sku-audit/images/hot/hot-020.jpg,251,167,168.27,65.21,130.59,1.817,50.28,5.67,6.74,6.15
hot,21,hot-021,https://363363.ru/hot,buttonu50130,Вкусные рулетики из кабачков с курицей,"Молодые кабачки, филе куриной грудки, чеснок, сыр, специи",,,https://363363.ru/images/88db3606da5154dfb50c797a0d3fbd21-crop-u50128.jpg?crc=3970518633,artifacts/sku-audit/images/hot/hot-021.jpg,251,168,131.54,43.77,116.51,1.669,46.94,4.18,5.89,4.95
